role_head,alias,note
accountant,könnyvelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
actor,színész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
actress,színésznő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
acupuncturist,akupunktőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
adjuster,beállító,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
adjuster,kárszakértő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
administrator,adminisztrátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
adviser,tanácsadó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
agent,ügynök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
agronomist,agronómus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
aide,segéd,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ambassador,nagykövet,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
analyst,analüütik,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
analyst,elemző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
anchor,horgony,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
anchor,híradós,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
animator,animátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
anthropologist,antropológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
appraiser,becsüs,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
appraiser,értékbecslő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
archaeologist,régész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
architect,építész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
architect,építészmérnök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
archivist,levéltáros,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
artist,művész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
assayer,fémvizsgáló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
assembler,összeszerelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
assistant,helyettes,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
astrologer,asztrológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
