family_node_id	family_label	role_heads	authority_levels	venue	channel	product	population	task	industry	knowledge_domain	work_object	residual_policy
14659	Commissioned Armed Forces Officers	brigadier|captain|colonel|commander|general|leader|lieutenant|major|officer	none					armed_force_task	army_industry|aviation|military|transport		air_force_work_object|artillery_work_object|navy_work_object|squadron_work_object	specific
14662	Non Commissioned Armed Forces Officers	corporal|officer|sergeant|specialist	none|supervisor						army_industry|aviation|force_industry|military|transport	warfare_knowledge_domain		specific
14665	Armed Forces Occupations Other Ranks	engineer|interceptor|pilot|soldier|technician	none					repair	aviation|military|transport	communications|intelligence_knowledge_domain	air_force_work_object|bomb_work_object	specific
14669	Legislators And Senior Officials	ambassador|commissioner|consul|councillor|counsellor|diplomat|general|governor|manager|mayor|member|minister|official|secretary|senator	chief|director|manager	office				administration	central_bank|government|interest_group_industry|public		embassy_work_object|state_work_object	specific
14674	Managing Directors And Chief Executives	chief|director|entrepreneur|executive|manager|officer	chief|director|manager	airport|facility			animal	service	corporate|public|social			specific
14677	Business Services And Administration Managers	administrator|coordinator|director|manager|officer|treasurer	manager	department|facility|factory|office|plant				administration|defence_task|employee_task|equality_task|manufacturing|planning|policy|programme|project|quality|safety|security|service|services|talent_task|training|treatment	bank|chemical|corporate|environmental|eu|financial|health|responsibility_industry|social	accounting|business|compliance|human_resources|information|tourism_knowledge_domain	branch_work_object|foundry_work_object|sustainability_work_object|volunteer_work_object	specific
14682	Sales Marketing And Development Managers	chief|director|manager|officer	manager	house	channel_channel|online		customers	advertising|aftersale_task|development|research|sales|service	banking|commercial|digital|insurance	business|communications|ict_knowledge_domain|marketing|public_relations|tourism_knowledge_domain	bid_work_object|brand_work_object|motor_vehicle_aftersale_work_object	specific
14687	Production Managers In Agriculture Forestry And Fisheries	forester|manager	manager	farm|site				husbandry|production	agriculture|aquaculture|fisheries|forestry		forest_work_object	specific
14690	Manufacturing Mining Construction And Distribution Managers	contractor|coordinator|developer|director|distributor|general|manager|officer|superintendent	manager	airport|department|mine|office|plant|railway|site|warehouse	distribution	movie_product	animal|animals	export|finishing|import|leather_wet_task|machine_task|management|manufacturing|operations|processing|production|quality	agricultural|agriculture|aviation|chemical|civil|coffee_industry|construction|dairy|electrical|electronic|green|industrial|inland_water_industry|leather_raw_industry|logistics|maritime_water_industry|mining|pharmaceutical|road|specialised|transport	engineering|telecommunications	confectionery_work_object|finished_leather_work_object|forecast_work_object|move_work_object|property_work_object|sewerage_system_work_object|supply_chain_work_object	specific
14695	Information And Communications Technology Service Managers	chief|manager|officer|vendor	chief|manager	centre|office				documentation|operations|project|relationship|service|support	digital|environmental	ict_knowledge_domain|information|it_knowledge_domain|technology|telecommunications		specific
14697	Professional Services Managers	administrator|chief|coordinator|dean|director|head|headteacher|manager|officer|principal|professional|publisher|teacher	director|manager	centre|court|department|facility|home|house|laboratory|office|primary_school|school|secondary_school|university			child|elderly|special_educational_needs|youth	airside_task|care|coordination|day_task|management|programme|protection|rescue|safety|scheme_task|service|services	aviation|bank|claim_industry|clinical|code_industry|commercial|correctional|energy|environmental|finance_industry|informatics_industry|insurance|legal|medical|public|social|sports|surveillance_industry	art|brokerage_firm_knowledge_domain|communications|deputy_knowledge_domain|museum_knowledge_domain|nursery_knowledge_domain|translation	airspace_work_object|credit_union_work_object|faculty_work_object|front_work_object	specific
14706	Hotel And Restaurant Managers	manager	manager	hotel|restaurant|room			guests		hospitality		shift_work_object	specific
14709	Retail And Wholesale Trade Managers	hand|manager	manager	department|garden|kitchen|shop|supermarket_venue	retail		customers|pet	account|building|sales	automotive|medical|photography|press_industry|store_industry	music|telecommunications	antique_work_object|bathroom_work_object|computer_software_work_object|confectionery_work_object|craft_work_object|drugstore_work_object|second_work_object	specific
14711	Other Services Managers	curator|director|manager|operator	director|manager	centre|facility|laundry|salon|zoo	call_centre		customers|tourist	cleaning|performance|production|services	beauty|cultural|sports|transport	information|travel	garage_work_object|spa_work_object|tour_work_object	residual_when_no_specific_family
14716	Physical And Earth Science Professionals	astronomer|chemist|climatologist|cosmologist|forecaster|geochemist|geologist|geophysicist|hydrogeologist|hydrologist|logger|meteorologist|metrologist|mineralogist|oceanographer|palaeontologist|physicist|scientist|seismologist|specialist|tester	none	laboratory|mine				research|test	aviation|chemical|environmental|physical	chemistry|geology|science	fragrance_work_object	specific
14721	Mathematicians Actuaries And Statisticians	biometrician|consultant|demographer|developer|engineer|mathematician|statistician	none	office				quality_assurance	actuarial	mathematics|science|statistics		specific
14723	Life Science Professionals	adviser|agronomist|analyst|behaviourist|biochemist|biologist|biophysicist|biotechnologist|botanist|consultant|coordinator|curator|ecologist|epidemiologist|geneticist|immunologist|manager|microbiologist|nutritionist|officer|pharmacologist|physiologist|scientist|specialist|technician|toxicologist	none	airport|farm|laboratory|site			animal|animals|livestock	horticulture_task|nature_task|programme|project|quality|research	agricultural|agriculture|aquaculture|aviation|environmental|fisheries|forestry|marine	air_knowledge_domain|biology|resource_knowledge_domain|science|water_knowledge_domain	bioinformatics_work_object|countryside_work_object|groundwater_work_object	specific
