concept_id,canonical,dimension,ro,hu
3d_knowledge_domain,3d,knowledge_domain,3D,3D
3d_work_object,3d,work_object,3D,3D
abatement_task,abatement,task,reducere,csökkentés
abrasive_industry,abrasive,industry,abrazive,csiszolóanyag-ipar
absorbent_pad_work_object,absorbent pad,work_object,tampon absorbant,nedvszívó betét
academic,academic,industry,academic,akadémiai szektor
academy,academy,venue,academie,akadémia
accessibility,accessibility,task,accesibilitate,akadálymentesítés
accommodation_task,accommodation,task,cazare,szálláshely-szolgáltatás
account,account,task,cont,fiókkezelés
accounting,accounting,knowledge_domain,contabilitate,számvitel
acoustic,acoustic,industry,acustică,akusztika
acoustical,acoustical,industry,acustic,akusztikai ipar
acquisition_task,acquisition,task,achiziție,akvizíció
activism_work_object,activism,work_object,activism,aktivizmus
activity_noop,activity,noop,activitate,tevékenység
actuarial,actuarial,industry,actuarial,aktuáriusi szektor
addiction_task,addiction,task,dependență,függőségkezelés
additive_industry,additive,industry,aditivi,adalékanyag-ipar
administration,administration,task,administrație,adminisztráció
administrative,administrative,task,administrativ,adminisztratív feladat
admissions,admissions,task,admitere,felvételi
adolescent,adolescent,population,adolescenți,serdülők
adolescents,adolescents,population,adolescenți,serdülők
adult,adult,population,adulți,felnőttek
adults,adults,population,adulți,felnőttek
advanced_noop,advanced,noop,tehnologii avansate,fejlett ipar
advertising,advertising,task,publicitate,hirdetés
advisory,advisory,task,consiliere,tanácsadás
aerodynamics,aerodynamics,knowledge_domain,aerodinamică,aerodinamika
aeronautical_industry,aeronautical,industry,aeronautică,repülőgépipar
aerospace,aerospace,knowledge_domain,aerospațial,űrhajózás
affairs,affairs,task,afaceri,ügyek
after_sales,after-sales,channel,post-vânzare,értékesítés utáni csatorna
aftersale_task,aftersale,task,servicii post-vânzare,értékesítés utáni szolgáltatások
agency_knowledge_domain,agency,knowledge_domain,agenție,ügynökség
agricultural,agricultural,industry,agricol,mezőgazdasági
agriculture,agriculture,industry,agricultură,mezőgazdaság
agronomic_industry,agronomic,industry,agronomic,agronómiai
aided_work_object,aided,work_object,asistat,segített
air_knowledge_domain,air,knowledge_domain,aerian,levegő
air_product,air,product,aer,levegő
air_work_object,air,work_object,aer,levegő
air_force_work_object,air force,work_object,forțe aeriene,légierő
aircraft_knowledge_domain,aircraft,knowledge_domain,aeronave,repülőgépek
aircraft_product,aircraft,product,aeronavă,repülőgép
aircraft_work_object,aircraft,work_object,aeronavă,repülőgép
aircraft_cargo_task,aircraft cargo,task,încărcătură aeronavă,repülőgép-teheráru
aircraft_engine_knowledge_domain,aircraft engine,knowledge_domain,motor de aeronavă,repülőgép-motor
airline_industry,airline,industry,companii aeriene,légitársaságok
airport,airport,venue,aeroport,repülőtér
airside_task,airside,task,zonă aeroportuară,repülőtéri légoldal
airspace_work_object,airspace,work_object,spațiu aerian,légtér
alarm_knowledge_domain,alarm,knowledge_domain,sisteme de alarmă,riasztórendszerek
alarm_work_object,alarm,work_object,alarmă,riasztó
alcohol_task,alcohol,task,control alcool,alkoholkezelés
alteration_task,alteration,task,modificare,átalakítás
alternative_industry,alternative,industry,energii alternative,alternatív ipar
