role_head,global_aliases,current_ro_aliases,current_hu_aliases,missing_locales,ro_aliases_to_add,hu_aliases_to_add,global_aliases_to_move_ro,global_aliases_to_move_hu,global_aliases_to_keep,translator_note,note
accountant,contabil; könnyvelő,,,ro;hu,contabil,könnyvelő; könyvelő,contabil,könnyvelő,contabil,,
actor,színész; näitleja,,,ro;hu,,színész,,színész,näitleja,ro: translation failed after 3 attempts: actor --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: actor --> No translation was found using the current translator. Try another translator?,
actress,actriță; színésznő; näitlejanna,,,ro;hu,actriță; actriţă,színésznő,actriță,színésznő,näitlejanna,,
acupuncturist,akupunktőr; akupunkturist; acupunctor,,,ro;hu,,akupunktőr,,akupunktőr,akupunkturist; acupunctor,ro: translation failed after 3 attempts: acupuncturist --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: acupuncturist --> No translation was found using the current translator. Try another translator?,
administrator,adminisztrátor; administraator; admin,,,ro;hu,,adminisztrátor,,adminisztrátor,administraator; admin,ro: translation failed after 3 attempts: administrator --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: administrator --> No translation was found using the current translator. Try another translator?,
adviser,advisor; consilier,,,ro;hu,consilier,tanácsadó,consilier,,advisor; consilier,,
agent,ügynök,,,ro;hu,,ügynök,,ügynök,,ro: translation failed after 3 attempts: agent --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: agent --> No translation was found using the current translator. Try another translator?,
analyst,analist; elemző; analüütik,,,ro;hu,analist,elemző; analüütik,analist,elemző; analüütik,analist,,
animator,animaator,,,ro;hu,,,,,animaator,ro: translation failed after 3 attempts: animator --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: animator --> No translation was found using the current translator. Try another translator?,
architect,arhitect; építész; arhitekt,,,ro;hu,arhitect,építész; építészmérnök,arhitect,építész,arhitect; arhitekt,,
artist,művész; kunstnik,,,ro;hu,,művész,,művész,kunstnik,ro: translation failed after 3 attempts: artist --> No translation was found using the current translator. Try another translator?,
assembler,montator; asamblor; összeszerelő; koostaja,,,ro;hu,asamblator,összeszerelő,,összeszerelő,montator; asamblor; koostaja,,
assistant,asistent; asszisztens; assistent,,,ro;hu,asistent,helyettes,asistent,,asistent; asszisztens; assistent,,
attendant,teenindaja,,,ro;hu,însoţitor,kísérő,,,teenindaja,,
auditor,könyvvizsgáló; audiitor,,,ro;hu,,könyvvizsgáló,,könyvvizsgáló,audiitor,ro: translation failed after 3 attempts: auditor --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: auditor --> No translation was found using the current translator. Try another translator?,
biologist,biolog; biológus; bioloog,,,ro;hu,biolog,biológus,biolog,biológus,biolog; bioloog,,
breeder,crescător; tenyésztő; aretaja,,,ro;hu,crescător,tenyésztő,crescător,tenyésztő,aretaja,,
broker,alkusz; maakler,,,ro;hu,,,,,alkusz; maakler,ro: translation failed after 3 attempts: broker --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: broker --> No translation was found using the current translator. Try another translator?,
builder,constructor; építő; ehitaja,,,ro;hu,constructor,építő; építész,constructor,építő,constructor; ehitaja,,
buyer,vevő,,,ro;hu,cumpărător,vevő,,vevő,,,
cashier,casier; kassiir,,,ro;hu,casier,pénztáros,casier,,casier; kassiir,,
chemist,vegyész; keemik,,,ro;hu,chimist,vegyész,,vegyész,keemik,,
chief,sef,,,ro;hu,şef,fő,,,sef,,
chiropractor,kiropraktik; csontkovács,,,ro;hu,chiropractician,csontkovács; hátgerincmasszázzsal gyógyító,,csontkovács,kiropraktik,,
clerk,gestionar; funcționar; hivatalnok; ametnik,,,ro;hu,funcționar; funcţionar,hivatalnok,funcționar,hivatalnok,gestionar; hivatalnok; ametnik,,
coach,,,,ro;hu,antrenor,edző,,,,,
collector,colector; gyűjtő; koguja,,,ro;hu,colector,gyűjtő,colector,gyűjtő,colector; koguja,,
conductor,karnagy,,,ro;hu,,,,,karnagy,ro: translation failed after 3 attempts: conductor --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: conductor --> No translation was found using the current translator. Try another translator?,
configurator,konfiguráló; konfigureerija,,,ro;hu,,konfiguráló,,konfiguráló,konfigureerija,ro: translation failed after 3 attempts: configurator --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: configurator --> No translation was found using the current translator. Try another translator?,
consultant,konsultant,,,ro;hu,,,,,konsultant,ro: translation failed after 3 attempts: consultant --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: consultant --> No translation was found using the current translator. Try another translator?,
controller,controlor,,,ro;hu,controlor,vezérlő,controlor,,controlor,,
cook,bucatar; szakács; kokk,,,ro;hu,bucătar,szakács,,szakács,bucatar; kokk,,
coordinator,coordonator,,,ro;hu,coordonator,koordinátora,coordonator,,coordonator,,
counsellor,counselor,,,ro;hu,consilier,tanácsadó,,,counselor,,
coverer,acoperitor; katja,,,ro;hu,acoperitor,takaró,acoperitor,,acoperitor; katja,,
developer,dezvoltator; fejlesztő; arendaja,,,ro;hu,dezvoltator,fejlesztő,dezvoltator,fejlesztő,dezvoltator; arendaja,,
director,igazgató; direktor,,,ro;hu,,igazgató,,igazgató,direktor,ro: translation failed after 3 attempts: director --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: director --> No translation was found using the current translator. Try another translator?,
dispatcher,dispecer; expeditor; diszpécser; dispetšer; disponent,,,ro;hu,dispecer,diszpécser,dispecer,diszpécser,dispecer; expeditor; dispetšer; disponent,,
distributor,distribuitor; forgalmazó,,,ro;hu,distribuitor,forgalmazó; elosztó,distribuitor,forgalmazó,distribuitor,,
diver,scafandru; búvár; sukelduja,,,ro;hu,,búvár,,búvár,scafandru; sukelduja,ro: translation failed after 3 attempts: diver --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: diver --> No translation was found using the current translator. Try another translator?,
drafter,rajzoló; joonestaja,,,ro;hu,,rajzoló,,rajzoló,joonestaja,ro: translation failed after 3 attempts: drafter --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: drafter --> No translation was found using the current translator. Try another translator?,
dresser,îmbrăcător; öltöztető; riietaja,,,ro;hu,îmbrăcător; sifonier,öltöztető; komód,îmbrăcător,öltöztető,riietaja,,
driver,sofer; conducator auto; conducător auto; stivuitorist; sofőr; autojuht,,,ro;hu,conducător auto; şofer,sofőr,conducător auto,sofőr,sofer; conducator auto; stivuitorist; autojuht,,
editor,szerkesztő; toimetaja,,,ro;hu,,szerkesztő,,szerkesztő,toimetaja,ro: translation failed after 3 attempts: editor --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: editor --> No translation was found using the current translator. Try another translator?,
electrician,villanyszerelő; elektrik,,,ro;hu,,villanyszerelő,,villanyszerelő,elektrik,ro: translation failed after 3 attempts: electrician --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: electrician --> No translation was found using the current translator. Try another translator?,
engineer,inginer; mérnök; insener,,,ro;hu,inginer,mérnök,inginer,mérnök,inginer; insener,,
engraver,gravor; gravírozó; graveerija,,,ro;hu,gravor,gravírozó; vésnök,gravor,gravírozó,gravor; graveerija,,
ergonomist,ergonómus; ergonoom,,,ro;hu,,ergonómus,,ergonómus,ergonoom,ro: translation failed after 3 attempts: ergonomist --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: ergonomist --> No translation was found using the current translator. Try another translator?,
escort,eskort,,,ro;hu,escorta,kíséret,,,eskort,,
executive,executiv,,,ro;hu,executiv,végrehajtó,executiv,,executiv,,
expert,szakértő; ekspert,,,ro;hu,,szakértő,,szakértő,ekspert,ro: translation failed after 3 attempts: expert --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: expert --> No translation was found using the current translator. Try another translator?,
filler,umplutor; töltő; täitja,,,ro;hu,umplutură,töltő; töltőanyag,,töltő,umplutor; täitja,,
finisher,finisator; viimistleja; betonist,,,ro;hu,finisator,befejező,finisator,,finisator; viimistleja; betonist,,
firefighter,pompier; tűzoltó; päästja,,,ro;hu,pompier,tűzoltó,pompier,tűzoltó,pompier; päästja,,
fitter,,,,ro;hu,instalator,szerelő,,,,,
geologist,geolog; geológus; geoloog,,,ro;hu,geolog,geológus,geolog,geológus,geolog; geoloog,,
governor,guvernator; kormányzó; kuberner,,,ro;hu,guvernator,kormányzó,guvernator,kormányzó,guvernator; kuberner,,
grader,osztályozó; liigitaja,,,ro;hu,gradator,osztályozó; földgyalu,,osztályozó,liigitaja,,
guard,őr; valvur; gardian,,,ro;hu,paznic,őr,,őr,valvur; gardian,,
guide,ghid; idegenvezető; giid,,,ro;hu,ghid,idegenvezető; útmutató,ghid,idegenvezető,ghid; giid,,
handler,manipulant; käsitseja,,,ro;hu,manipulator,kezelő,,,manipulant; käsitseja,,
head,,,,ro;hu,cap,fej,,,,,
host,házigazda,,,ro;hu,,házigazda,,házigazda,,ro: translation failed after 3 attempts: host --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: host --> No translation was found using the current translator. Try another translator?,
