role_head,alias,note
accountant,contabil,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
actress,actriţă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
actress,actriță,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
adjuster,reglator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
adviser,consilier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
aide,ajutor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
analyst,analist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
anchor,ancoră,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
anchor,prezentator de știri,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
annealer,recoacător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
appraiser,evaluator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
architect,arhitect,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
assembler,asamblator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
assistant,asistent,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
athlete,atlet,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
attendant,însoţitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
babysitter,bonă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bailiff,executor judecătoresc,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bailiff,executorul judecătoresc,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
barber,bărbier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
beveller,teşitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
beveller,teșitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
biologist,biolog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
biotechnologist,biotehnolog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
blacksmith,fierar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bleacher,înălbitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
blower,suflante,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boatman,luntraș,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boatswain,şef de echipaj,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boatswain,șef de echipaj,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bodyguard,gardă de corp,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boss,sef,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boss,șef,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
brazier,arămari,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
breeder,crescător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
builder,constructor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
burner,arzător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
butcher,măcelar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
buyer,cumpărător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
caller,apelant,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
canner,conserve,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
canvasser,colportor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
captain,căpitan,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
carpenter,dulgher,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
carrier,purtător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cashier,casier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
caster,turnător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
catcher,prinzător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
caulker,calafat,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chaplain,capelan,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chauffeur,şofer,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chauffeur,șofer,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
checker,dama,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chemist,chimist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chief,şef,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chipper,tocator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chiropractor,chiropractician,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
choirmaster,director de cor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cleaner,curățător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
clerk,funcţionar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
clerk,funcționar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
closer,mai aproape,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coach,antrenor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
collector,colector,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
colourist,colorist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
commander,comandant,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
commissioner,comisar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
companion,însoțitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
compiler,compilator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
controller,controlor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cook,bucătar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coordinator,coordonator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coppersmith,calămarar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
corporal,caporal,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
correspondent,corespondent,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
councillor,consilier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
counsellor,consilier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
courier,curier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coverer,acoperitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dean,decan,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
derrickhand,operator de sondă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
describer,descriitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
detective,detectiv,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
developer,dezvoltator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
digger,săpător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dispatcher,dispecer,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
distiller,distilator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
distributor,distribuitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
diver,scafandru,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
doorman,portar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dramaturge,dramaturg,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dresser,sifonier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dresser,îmbrăcător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
driver,conducător auto,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
