combination_id,concept_ids,role_heads,derived_role_heads,note
front_desk_reception_context,front_desk,,receptionist,Reviewed 2026-09-02: front desk context can imply receptionist without being a direct role-head alias.
front_desk_receptionist,front_desk,receptionist,receptionist,Reviewed 2026-09-02: front desk plus receptionist is a direct reception structure.
housekeeping_task_housekeeper,housekeeping_task,,housekeeper,"Reviewed 2026-09-03: ESCO leaves ""domestic housekeeper"" and ""housekeeping supervisor"" show housekeeping duties are role-defining for housekeeper; ""Housekeeping"" and ""Hotel Housekeeping"" currently resolve role_head=none with no direct role-head alias for housekeeping."
wholesale_channel_merchant,wholesale,,merchant,"Reviewed 2026-09-03: all 36 ESCO leaves containing ""wholesale"" are ""wholesale merchant"" (bare or with a product-line qualifier); ""Wholesale"" alone currently resolves role_head=none."
massage_therapist,massage_work_object,,therapist,"Reviewed 2026-09-03: ESCO leaves ""massage therapist"" and ""animal massage therapist"" are the only occupations carrying ""massage""; ""Massage"" alone currently resolves role_head=none."
teaching_task_teaching_assistant,teaching,,assistant,"Reviewed 2026-09-03: ESCO leaves ""university teaching assistant"", ""early years teaching assistant"", ""primary school teaching assistant"", ""secondary school teaching assistant"" show ""teaching"" (as distinct from the already-covered ""teacher"" role head) consistently implies the assistant role; ""Teaching"" alone currently resolves role_head=none."
enforcement_task_officer,enforcement_task,,officer,"Reviewed 2026-09-03: ESCO leaves ""court enforcement officer"" and ""civil enforcement officer"" both use officer with no competing role head; ""Enforcement"" alone currently resolves role_head=none."
grinding_task_operator,grinding_task,,operator,"Reviewed 2026-09-03: ESCO leaves ""grinding machine operator"", ""surface grinding machine operator"", ""liquor grinding mill operator"" are all operator roles with no competing role head; ""Grinding"" alone currently resolves role_head=none."
stitching_task_operator,stitching_task,,operator,"Reviewed 2026-09-03: ESCO leaves ""footwear stitching machine operator"", ""leather goods stitching machine operator"", ""pre-stitching machine operator"" are all operator roles with no competing role head; ""Stitching"" alone currently resolves role_head=none."
spinning_task_operator,spinning_task,,operator,"Reviewed 2026-09-03: ESCO leaves ""spinning machine operator"" and ""spinning textile operator"" are both operator roles with no competing role head; ""Spinning"" alone currently resolves role_head=none."
sewing_machine_operator,sewing_machine,,operator,"Reviewed 2026-09-03: ESCO leaves ""book-sewing machine operator"" and ""sewing machine operator"" are both operator roles with no competing role head; ""Sewing Machine"" alone currently resolves role_head=none."
surveying_task_technician,surveying_task,,technician,"Reviewed 2026-09-03: ESCO leaves ""hydrographic surveying technician"", ""mine surveying technician"", ""soil surveying technician"", ""surveying technician"" are all technician roles with no competing role head (distinct from the already-covered ""surveyor"" role head, which covers the general practitioner, not the ""surveying"" task noun); ""Surveying"" alone currently resolves role_head=none."
deinking_task_operator,deinking_task,,operator,"Reviewed 2026-09-03: ESCO leaves ""froth flotation deinking operator"" and ""wash deinking operator"" are both operator roles with no competing role head; ""Deinking"" alone currently resolves role_head=none."
literacy_teacher,literacy,,teacher,"Reviewed 2026-09-03: ESCO leaves ""adult literacy teacher"" and ""digital literacy teacher"" are both teacher roles with no competing role head; ""Literacy"" alone currently resolves role_head=none."
performing_task_instructor,performing_task,,instructor,"Reviewed 2026-09-03: ESCO leaves ""performing arts school dance instructor"" and ""performing arts theatre instructor"" are both instructor roles with no competing role head; ""Performing"" alone currently resolves role_head=none."
drama_teacher,drama,,teacher,"Reviewed 2026-09-03: ESCO leaves ""drama teacher secondary school"" and ""drama teacher"" are both teacher roles with no competing role head; ""Drama"" alone currently resolves role_head=none."
aerodynamics_engineer,aerodynamics,,engineer,"Reviewed 2026-09-03: ESCO leaf ""aerodynamics engineer"" is a narrow, unambiguous technical term; ""Aerodynamics"" alone currently resolves role_head=none."
addiction_task_counsellor,addiction_task,,counsellor,"Reviewed 2026-09-03: ESCO leaf ""drug and alcohol addiction counsellor"" is a narrow, unambiguous term; ""Addiction"" alone currently resolves role_head=none."
marriage_work_object_counsellor,marriage_work_object,,counsellor,"Reviewed 2026-09-03: ESCO leaf ""marriage counsellor"" is a narrow, unambiguous term; ""Marriage"" alone currently resolves role_head=none."
bee_work_object_breeder,bee_work_object,,breeder,"Reviewed 2026-09-03: ESCO leaf ""bee breeder"" is a narrow, unambiguous term; ""Bee"" alone currently resolves role_head=none."
sheep_work_object_breeder,sheep_work_object,,breeder,"Reviewed 2026-09-03: ESCO leaf ""sheep breeder"" is a narrow, unambiguous term; ""Sheep"" alone currently resolves role_head=none."
beer_work_object_sommelier,beer_work_object,,sommelier,"Reviewed 2026-09-03: ESCO leaf ""beer sommelier"" is a narrow, unambiguous term; ""Beer"" alone currently resolves role_head=none."
mountain_work_object_guide,mountain_work_object,,guide,"Reviewed 2026-09-03: ESCO leaf ""mountain guide"" is a narrow, unambiguous term; ""Mountain"" alone currently resolves role_head=none."
wedding_task_planner,wedding_task,,planner,"Reviewed 2026-09-03: ESCO leaf ""wedding planner"" is a narrow, unambiguous term; ""Wedding"" alone currently resolves role_head=none."
urban_work_object_planner,urban_work_object,,planner,"Reviewed 2026-09-03: ESCO leaf ""urban planner"" is a narrow, unambiguous term; ""Urban"" alone currently resolves role_head=none."
quantity_work_object_surveyor,quantity_work_object,,surveyor,"Reviewed 2026-09-03: ESCO leaf ""quantity surveyor"" is a narrow, unambiguous term, distinct from the general ""surveyor"" role head which needs no help resolving on its own; ""Quantity"" alone currently resolves role_head=none."
naval_industry_architect,naval_industry,,architect,"Reviewed 2026-09-03: ESCO leaf ""naval architect"" is a narrow, unambiguous term; ""Naval"" alone currently resolves role_head=none."
helicopter_work_object_pilot,helicopter_work_object,,pilot,"Reviewed 2026-09-03: ESCO leaf ""helicopter pilot"" is a narrow, unambiguous term; ""Helicopter"" alone currently resolves role_head=none."
drone_work_object_pilot,drone_work_object,,pilot,"Reviewed 2026-09-03: ESCO leaf ""drone pilot"" is a narrow, unambiguous term; ""Drone"" alone currently resolves role_head=none."
shiatsu_work_object_practitioner,shiatsu_work_object,,practitioner,"Reviewed 2026-09-03: ESCO leaf ""shiatsu practitioner"" is a narrow, unambiguous term; ""Shiatsu"" alone currently resolves role_head=none."
speech_and_language_therapist,speech_and_language,,therapist,"Reviewed 2026-09-03: ESCO leaf ""speech and language therapist"" is a narrow, unambiguous term; ""Speech and language"" alone currently resolves role_head=none."
organ_work_object_builder,organ_work_object,,builder,"Reviewed 2026-09-03: ESCO leaf ""organ builder"" is a narrow, unambiguous term; ""Organ"" alone currently resolves role_head=none."
supreme_work_object_judge,supreme_work_object,,judge,"Reviewed 2026-09-03: ESCO leaf ""supreme court judge"" is a narrow, unambiguous term; ""Supreme"" alone currently resolves role_head=none."
compliance_information_security_director,compliance;information;security,,director,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""director of compliance and information security""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply director (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
design_equipment_task_engineer,design;equipment_task,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""design engineer (equipment)""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
equipment_task_specialised_seller,equipment_task;specialised,,seller,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""specialised seller (equipment)""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply seller (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
business_vocational_teacher,business;vocational,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""vocational teacher (business)""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
arts_vocational_teacher,arts;vocational,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""vocational teacher (arts)""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
technology_vocational_teacher,technology;vocational,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""vocational teacher (technology)""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
education_task_physical_teacher,education_task;physical,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""physical education teacher""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
languages_secondary_school_teacher,languages;secondary_school,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""languages teacher secondary school""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
education_task_secondary_school_teacher,education_task;secondary_school,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""education teacher secondary school""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
needs_population_school_teacher,needs_population;school,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""special educational needs teacher (school)""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
school_special_educational_needs_teacher,school;special_educational_needs,,teacher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""special educational needs teacher (school)""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply teacher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
advertising_sales_agent,advertising;sales,,agent,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""advertising sales agent""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply agent (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
railway_sales_agent,railway;sales,,agent,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""railway sales agent""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply agent (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
sales_ticket_task_agent,sales;ticket_task,,agent,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""ticket sales agent""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply agent (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
automotive_test_driver,automotive;test,,driver,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""automotive test driver""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply driver (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
bank_central_bank_governor,bank;central_bank,,governor,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""central bank governor""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply governor (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
department_school_head,department;school,,head,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""head of department, school""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply head (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
department_university_head,department;university,,head,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""head of department, university""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply head (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
programme_youth_director,programme;youth,,director,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""youth programme director""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply director (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
agricultural_design_engineer,agricultural;design,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""agricultural design engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
airport_planning_engineer,airport;planning,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""airport planning engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
environmental_mining_engineer,environmental;mining,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""environmental mining engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
design_industrial_engineer,design;industrial,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""industrial design engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
maintenance_repair_engineer,maintenance;repair,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""maintenance and repair engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
geotechnical_industry_mining_engineer,geotechnical_industry;mining,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""geotechnical mining engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
specialised_video_work_object_seller,specialised;video_work_object,,seller,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""specialised video seller""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply seller (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
audio_work_object_specialised_seller,audio_work_object;specialised,,seller,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""specialised audio seller""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply seller (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
computer_work_object_specialised_seller,computer_work_object;specialised,,seller,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""specialised computer seller""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply seller (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
